id,name,domain,language,framework,difficulty,skills,team_size,description
20,Music Player 20,Game Development,Rust,Spring Boot,Beginner,Python|NLP|Text Processing,2,Build a game development project using Rust and Spring Boot framework.
21,ERP Solution 21,Game Development,TypeScript,Spring Boot,Intermediate,Python|ML|Data Analysis,4,Build a game development project using TypeScript and Spring Boot framework.
22,Log Aggregator 22,DevOps,Go,Django,Advanced,Blockchain|Smart Contracts|Crypto,4,Build a devops project using Go and Django framework.
23,E-Commerce 23,Web,Rust,React,Advanced,TypeScript|OOP|Design Patterns,3,Build a web project using Rust and React framework.
24,Resume Analyzer 24,Blockchain,C++,Ember,Intermediate,Python|NLP|Machine Learning,2,Build a blockchain project using C++ and Ember framework.
25,ERP Solution 25,Mobile,Java,FastAPI,Advanced,Python|NLP|Machine Learning,3,Build a mobile project using Java and FastAPI framework.
26,Wiki Platform 26,Cybersecurity,Java,Ember,Expert,Python|Deep Learning|Computer Vision,3,Build a cybersecurity project using Java and Ember framework.
27,Blog Platform 27,Machine Learning,PHP,Next.js,Advanced,IoT|Embedded Systems|Hardware,4,Build a machine learning project using PHP and Next.js framework.
28,Password Manager 28,Mobile,JavaScript,Flask,Intermediate,C++|Game Engine|Graphics,1,Build a mobile project using JavaScript and Flask framework.
29,Mobile App 29,IoT,TypeScript,FastAPI,Advanced,Python|ML|Data Analysis,2,Build a iot project using TypeScript and FastAPI framework.
30,Puzzle Game 30,Web,PHP,Django,Advanced,IoT|Embedded Systems|Hardware,4,Build a web project using PHP and Django framework.
31,Stock Analyzer 31,Cybersecurity,C++,Nuxt,Intermediate,Cybersecurity|Encryption|Penetration Testing,1,Build a cybersecurity project using C++ and Nuxt framework.
32,Dashboard 32,DevOps,C++,Django,Expert,Blockchain|Smart Contracts|Crypto,2,Build a devops project using C++ and Django framework.
33,Password Manager 33,Machine Learning,Rust,Ember,Expert,IoT|Embedded Systems|Hardware,3,Build a machine learning project using Rust and Ember framework.
34,Recommendation System 34,Data Science,Java,FastAPI,Advanced,Rust|Memory Safety|Performance,3,Build a data science project using Java and FastAPI framework.
35,Recommendation System 35,Web,Java,Svelte,Expert,IoT|Embedded Systems|Hardware,1,Build a web project using Java and Svelte framework.
36,Virtual Machine 36,DevOps,C#,Django,Advanced,C++|Game Engine|Graphics,5,Build a devops project using C# and Django framework.
37,Strategy Game 37,Web,PHP,Flask,Beginner,Python|ML|Data Analysis,4,Build a web project using PHP and Flask framework.
38,CI/CD Pipeline 38,Game Development,PHP,Angular,Advanced,DevOps|Docker|Kubernetes,2,Build a game development project using PHP and Angular framework.
39,E-Commerce 39,Game Development,Java,FastAPI,Intermediate,JavaScript|Vue.js|API Integration,5,Build a game development project using Java and FastAPI framework.
40,Puzzle Game 40,Mobile,JavaScript,FastAPI,Intermediate,Java|Spring|Microservices,4,Build a mobile project using JavaScript and FastAPI framework.
41,Blog Platform 41,DevOps,C++,FastAPI,Intermediate,JavaScript|React|State Management,2,Build a devops project using C++ and FastAPI framework.
42,Network Simulator 42,Cybersecurity,Rust,Svelte,Expert,Cybersecurity|Encryption|Penetration Testing,3,Build a cybersecurity project using Rust and Svelte framework.
43,Traffic Monitor 43,DevOps,JavaScript,FastAPI,Beginner,Python|Deep Learning|Computer Vision,1,Build a devops project using JavaScript and FastAPI framework.
44,Video Streaming 44,Mobile,Rust,Vue.js,Intermediate,JavaScript|React|State Management,3,Build a mobile project using Rust and Vue.js framework.
45,Strategy Game 45,Mobile,C++,Svelte,Expert,Python|NLP|Machine Learning,4,Build a mobile project using C++ and Svelte framework.
46,VPN Client 46,Mobile,JavaScript,Spring Boot,Expert,Cybersecurity|Encryption|Penetration Testing,2,Build a mobile project using JavaScript and Spring Boot framework.
47,Wiki Platform 47,AI,Go,Vue.js,Intermediate,Cybersecurity|Encryption|Penetration Testing,5,Build a ai project using Go and Vue.js framework.
48,Wiki Platform 48,AI,Java,Ember,Advanced,JavaScript|React|Node.js|Database,2,Build a ai project using Java and Ember framework.
49,Forum App 49,Machine Learning,C++,Spring Boot,Beginner,C++|Game Engine|Graphics,5,Build a machine learning project using C++ and Spring Boot framework.
50,Cloud Storage 50,Mobile,Rust,Spring Boot,Advanced,Java|Spring|Microservices,3,Build a mobile project using Rust and Spring Boot framework.
51,Music Player 51,Cybersecurity,Go,Vue.js,Beginner,Python|NLP|Machine Learning,2,Build a cybersecurity project using Go and Vue.js framework.
52,Video Streaming 52,IoT,Python,Vue.js,Intermediate,Python|NLP|Machine Learning,5,Build a iot project using Python and Vue.js framework.
53,Racing Game 53,Machine Learning,TypeScript,Spring Boot,Expert,Python|NLP|Text Processing,4,Build a machine learning project using TypeScript and Spring Boot framework.
54,REST API 54,IoT,JavaScript,Express,Advanced,Python|Deep Learning|Computer Vision,2,Build a iot project using JavaScript and Express framework.
55,Image Classifier 55,DevOps,TypeScript,Angular,Advanced,Cybersecurity|Encryption|Penetration Testing,5,Build a devops project using TypeScript and Angular framework.
56,CI/CD Pipeline 56,Mobile,Java,FastAPI,Intermediate,Java|Spring|Microservices,1,Build a mobile project using Java and FastAPI framework.
57,Social Network 57,Blockchain,C++,Express,Beginner,Python|Deep Learning|Computer Vision,3,Build a blockchain project using C++ and Express framework.
58,Recommendation System 58,DevOps,C#,Next.js,Advanced,Cybersecurity|Encryption|Penetration Testing,1,Build a devops project using C# and Next.js framework.
59,Payment Gateway 59,Mobile,Ruby,Next.js,Beginner,JavaScript|Vue.js|API Integration,2,Build a mobile project using Ruby and Next.js framework.
60,Intrusion Detector 60,Data Science,Python,Svelte,Beginner,Python|Deep Learning|Computer Vision,3,Build a data science project using Python and Svelte framework.
61,File Manager 61,Data Science,PHP,Vue.js,Expert,JavaScript|React|State Management,2,Build a data science project using PHP and Vue.js framework.
62,ChatBot 62,AI,Rust,FastAPI,Expert,Python|Data Analysis|Visualization,2,Build a ai project using Rust and FastAPI framework.
63,AR Application 63,Blockchain,C++,Vue.js,Intermediate,Python|NLP|Text Processing,4,Build a blockchain project using C++ and Vue.js framework.
64,Notification System 64,Mobile,Java,React,Expert,Python|Data Analysis|Visualization,1,Build a mobile project using Java and React framework.
65,Payment Gateway 65,Data Science,JavaScript,Spring Boot,Intermediate,JavaScript|React|Node.js,5,Build a data science project using JavaScript and Spring Boot framework.
66,Intrusion Detector 66,Blockchain,C++,FastAPI,Intermediate,Python|Deep Learning|Computer Vision,1,Build a blockchain project using C++ and FastAPI framework.
67,Traffic Monitor 67,Game Development,JavaScript,React,Expert,Cybersecurity|Encryption|Penetration Testing,3,Build a game development project using JavaScript and React framework.
68,API Gateway 68,IoT,Java,React,Intermediate,Cybersecurity|Encryption|Penetration Testing,5,Build a iot project using Java and React framework.
69,REST API 69,Mobile,C++,Vue.js,Expert,Python|Deep Learning|Computer Vision,1,Build a mobile project using C++ and Vue.js framework.
70,ERP Solution 70,DevOps,Python,Nuxt,Expert,Cybersecurity|Encryption|Penetration Testing,1,Build a devops project using Python and Nuxt framework.
71,Mobile App 71,AI,Python,Svelte,Advanced,Python|NLP|Text Processing,2,Build a ai project using Python and Svelte framework.
72,Traffic Monitor 72,IoT,PHP,Spring Boot,Expert,JavaScript|Vue.js|API Integration,1,Build a iot project using PHP and Spring Boot framework.
73,CI/CD Pipeline 73,Web,Ruby,Svelte,Expert,Go|Concurrency|Scalability,1,Build a web project using Ruby and Svelte framework.
74,Puzzle Game 74,Web,PHP,Express,Expert,JavaScript|React|State Management,3,Build a web project using PHP and Express framework.
75,Recommendation System 75,IoT,C++,Flask,Intermediate,DevOps|Docker|Kubernetes,2,Build a iot project using C++ and Flask framework.
76,API Gateway 76,AI,Go,React,Advanced,DevOps|Docker|Kubernetes,5,Build a ai project using Go and React framework.
77,Intrusion Detector 77,Cybersecurity,C#,Next.js,Beginner,Python|Data Analysis|Visualization,2,Build a cybersecurity project using C# and Next.js framework.
78,Load Balancer 78,Data Science,Rust,Django,Intermediate,Python|NLP|Text Processing,1,Build a data science project using Rust and Django framework.
79,Data Pipeline 79,Data Science,Python,Spring Boot,Beginner,Java|Spring|Microservices,4,Build a data science project using Python and Spring Boot framework.
80,3D Game 80,Data Science,C#,Next.js,Intermediate,Python|Deep Learning|Computer Vision,2,Build a data science project using C# and Next.js framework.
81,CRM System 81,Data Science,PHP,Flask,Expert,Python|ML|Data Analysis,2,Build a data science project using PHP and Flask framework.
82,Monitoring System 82,AI,C++,Flask,Expert,TypeScript|OOP|Design Patterns,5,Build a ai project using C++ and Flask framework.
83,Container Registry 83,DevOps,Rust,Django,Advanced,Blockchain|Smart Contracts|Crypto,3,Build a devops project using Rust and Django framework.
84,Video Streaming 84,Machine Learning,Python,Svelte,Advanced,Blockchain|Smart Contracts|Crypto,2,Build a machine learning project using Python and Svelte framework.
85,Notification System 85,DevOps,Rust,Ember,Expert,IoT|Embedded Systems|Hardware,4,Build a devops project using Rust and Ember framework.
86,Image Classifier 86,Data Science,JavaScript,Ember,Advanced,TypeScript|OOP|Design Patterns,3,Build a data science project using JavaScript and Ember framework.
87,Search Engine 87,Game Development,C++,React,Intermediate,JavaScript|React|Node.js,5,Build a game development project using C++ and React framework.
88,Load Balancer 88,Web,C#,Django,Intermediate,Cybersecurity|Encryption|Penetration Testing,2,Build a web project using C# and Django framework.
89,Firewall 89,DevOps,Python,FastAPI,Advanced,Python|NLP|Text Processing,4,Build a devops project using Python and FastAPI framework.
90,Network Simulator 90,Blockchain,C#,React,Advanced,Rust|Memory Safety|Performance,1,Build a blockchain project using C# and React framework.
91,Notification System 91,IoT,C++,Nuxt,Advanced,JavaScript|React|Node.js|Database,1,Build a iot project using C++ and Nuxt framework.
92,Weather Dashboard 92,Data Science,Java,React,Intermediate,JavaScript|React|State Management,5,Build a data science project using Java and React framework.
93,VPN Client 93,DevOps,PHP,Flask,Advanced,JavaScript|React|Node.js,3,Build a devops project using PHP and Flask framework.
94,Payment Gateway 94,Machine Learning,C++,Ember,Intermediate,JavaScript|React|Node.js,4,Build a machine learning project using C++ and Ember framework.
95,Backup Tool 95,Mobile,C++,React,Beginner,Blockchain|Smart Contracts|Crypto,5,Build a mobile project using C++ and React framework.
96,ChatBot 96,Data Science,Ruby,Django,Expert,DevOps|Docker|Kubernetes,4,Build a data science project using Ruby and Django framework.
97,ChatBot 97,DevOps,Go,Vue.js,Intermediate,Python|NLP|Machine Learning,2,Build a devops project using Go and Vue.js framework.
98,Network Simulator 98,Blockchain,JavaScript,Angular,Beginner,Python|NLP|Text Processing,5,Build a blockchain project using JavaScript and Angular framework.
99,AR Application 99,Blockchain,C++,FastAPI,Intermediate,JavaScript|React|Node.js|Database,5,Build a blockchain project using C++ and FastAPI framework.
100,REST API 100,Mobile,C++,Svelte,Intermediate,JavaScript|React|Node.js,5,Build a mobile project using C++ and Svelte framework.
101,Firewall 101,Data Science,JavaScript,Express,Intermediate,IoT|Embedded Systems|Hardware,5,Build a data science project using JavaScript and Express framework.
102,Music Player 102,Web,Go,Spring Boot,Beginner,JavaScript|React|Node.js|Database,4,Build a web project using Go and Spring Boot framework.
103,Analytics Tool 103,IoT,Ruby,Angular,Beginner,JavaScript|Vue.js|API Integration,5,Build a iot project using Ruby and Angular framework.
104,Wiki Platform 104,Blockchain,C++,Spring Boot,Expert,Python|Data Analysis|Visualization,1,Build a blockchain project using C++ and Spring Boot framework.
105,Weather Dashboard 105,Data Science,JavaScript,Next.js,Expert,Python|ML|Data Analysis,5,Build a data science project using JavaScript and Next.js framework.
106,Firewall 106,AI,C#,Svelte,Beginner,Cybersecurity|Encryption|Penetration Testing,5,Build a ai project using C# and Svelte framework.
107,Weather Dashboard 107,Machine Learning,Java,Spring Boot,Advanced,JavaScript|React|State Management,1,Build a machine learning project using Java and Spring Boot framework.
108,Notification System 108,DevOps,Java,Flask,Expert,Python|Deep Learning|Computer Vision,5,Build a devops project using Java and Flask framework.
109,Monitoring System 109,IoT,JavaScript,Next.js,Intermediate,JavaScript|Vue.js|API Integration,1,Build a iot project using JavaScript and Next.js framework.
110,Stock Analyzer 110,DevOps,JavaScript,Flask,Beginner,Python|NLP|Text Processing,2,Build a devops project using JavaScript and Flask framework.
111,Chat Application 111,Game Development,PHP,Next.js,Beginner,IoT|Embedded Systems|Hardware,4,Build a game development project using PHP and Next.js framework.
112,Weather Dashboard 112,Web,JavaScript,Spring Boot,Advanced,C++|Game Engine|Graphics,5,Build a web project using JavaScript and Spring Boot framework.
113,Forum App 113,Cybersecurity,C#,Nuxt,Advanced,IoT|Embedded Systems|Hardware,1,Build a cybersecurity project using C# and Nuxt framework.
114,Intrusion Detector 114,AI,Python,Svelte,Intermediate,Blockchain|Smart Contracts|Crypto,3,Build a ai project using Python and Svelte framework.
115,Virtual Machine 115,Web,Python,Vue.js,Intermediate,JavaScript|React|Node.js|Database,1,Build a web project using Python and Vue.js framework.
116,CRM System 116,Data Science,Ruby,Flask,Beginner,Cybersecurity|Encryption|Penetration Testing,5,Build a data science project using Ruby and Flask framework.
117,Traffic Monitor 117,AI,C++,Next.js,Intermediate,Java|Spring|Microservices,1,Build a ai project using C++ and Next.js framework.
118,Backup Tool 118,IoT,Java,Next.js,Advanced,Python|ML|Data Analysis,5,Build a iot project using Java and Next.js framework.
119,Mobile App 119,AI,JavaScript,Flask,Beginner,Go|Concurrency|Scalability,1,Build a ai project using JavaScript and Flask framework.
120,Load Balancer 120,Machine Learning,Rust,Next.js,Advanced,Blockchain|Smart Contracts|Crypto,2,Build a machine learning project using Rust and Next.js framework.
121,CRM System 121,Machine Learning,PHP,FastAPI,Beginner,Cybersecurity|Encryption|Penetration Testing,4,Build a machine learning project using PHP and FastAPI framework.
122,API Gateway 122,IoT,PHP,Nuxt,Expert,TypeScript|OOP|Design Patterns,1,Build a iot project using PHP and Nuxt framework.
123,Monitoring System 123,DevOps,Java,Express,Expert,Python|Data Analysis|Visualization,2,Build a devops project using Java and Express framework.
124,Forum App 124,Game Development,Python,Express,Intermediate,Python|Deep Learning|Computer Vision,4,Build a game development project using Python and Express framework.
125,Photo Editor 125,IoT,PHP,Next.js,Advanced,Python|Deep Learning|Computer Vision,1,Build a iot project using PHP and Next.js framework.
126,ERP Solution 126,AI,C++,Angular,Advanced,Python|NLP|Text Processing,1,Build a ai project using C++ and Angular framework.
127,Notification System 127,Cybersecurity,Ruby,Next.js,Beginner,Python|ML|Data Analysis,4,Build a cybersecurity project using Ruby and Next.js framework.
128,Video Streaming 128,Machine Learning,JavaScript,Django,Intermediate,Blockchain|Smart Contracts|Crypto,4,Build a machine learning project using JavaScript and Django framework.
129,Search Engine 129,Cybersecurity,C++,Next.js,Advanced,JavaScript|React|State Management,5,Build a cybersecurity project using C++ and Next.js framework.
130,Recommendation System 130,IoT,JavaScript,Vue.js,Beginner,Python|NLP|Machine Learning,5,Build a iot project using JavaScript and Vue.js framework.
131,VPN Client 131,DevOps,Go,Nuxt,Intermediate,C++|Game Engine|Graphics,1,Build a devops project using Go and Nuxt framework.
132,API Gateway 132,Data Science,Rust,Angular,Expert,IoT|Embedded Systems|Hardware,4,Build a data science project using Rust and Angular framework.
133,Recommendation System 133,Data Science,JavaScript,FastAPI,Expert,Python|ML|Data Analysis,4,Build a data science project using JavaScript and FastAPI framework.
134,Backup Tool 134,Machine Learning,Go,Flask,Expert,DevOps|Docker|Kubernetes,3,Build a machine learning project using Go and Flask framework.
135,Forum App 135,Game Development,C#,Angular,Beginner,JavaScript|Vue.js|API Integration,1,Build a game development project using C# and Angular framework.
136,ChatBot 136,IoT,Go,Django,Expert,Java|Spring|Microservices,2,Build a iot project using Go and Django framework.
137,Blog Platform 137,IoT,PHP,Express,Advanced,Cybersecurity|Encryption|Penetration Testing,5,Build a iot project using PHP and Express framework.
138,Strategy Game 138,IoT,Go,Django,Intermediate,Python|NLP|Machine Learning,3,Build a iot project using Go and Django framework.
139,Strategy Game 139,Data Science,Go,Django,Expert,Java|Spring|Microservices,1,Build a data science project using Go and Django framework.
140,Strategy Game 140,DevOps,PHP,Express,Beginner,JavaScript|React|Node.js|Database,5,Build a devops project using PHP and Express framework.
141,Traffic Monitor 141,IoT,C++,React,Advanced,C++|Game Engine|Graphics,1,Build a iot project using C++ and React framework.
142,Social Network 142,Data Science,Ruby,Django,Intermediate,JavaScript|React|State Management,4,Build a data science project using Ruby and Django framework.
143,Racing Game 143,Cybersecurity,TypeScript,Express,Beginner,DevOps|Docker|Kubernetes,5,Build a cybersecurity project using TypeScript and Express framework.
144,Analytics Tool 144,DevOps,Python,Next.js,Expert,JavaScript|React|Node.js,5,Build a devops project using Python and Next.js framework.
145,Racing Game 145,AI,C++,Svelte,Expert,C++|Game Engine|Graphics,1,Build a ai project using C++ and Svelte framework.
146,Mobile App 146,Data Science,TypeScript,Svelte,Beginner,Go|Concurrency|Scalability,5,Build a data science project using TypeScript and Svelte framework.
147,Image Classifier 147,IoT,PHP,React,Beginner,Python|NLP|Text Processing,3,Build a iot project using PHP and React framework.
148,Scheduler 148,Blockchain,Python,Django,Beginner,Blockchain|Smart Contracts|Crypto,2,Build a blockchain project using Python and Django framework.
149,Puzzle Game 149,Machine Learning,Java,Nuxt,Advanced,Go|Concurrency|Scalability,2,Build a machine learning project using Java and Nuxt framework.
150,File Manager 150,AI,Ruby,FastAPI,Beginner,DevOps|Docker|Kubernetes,5,Build a ai project using Ruby and FastAPI framework.
151,Puzzle Game 151,Cybersecurity,C#,Next.js,Intermediate,Rust|Memory Safety|Performance,1,Build a cybersecurity project using C# and Next.js framework.
152,Forum App 152,AI,Python,Django,Expert,C++|Game Engine|Graphics,4,Build a ai project using Python and Django framework.
153,3D Game 153,IoT,Python,FastAPI,Advanced,JavaScript|React|Node.js,4,Build a iot project using Python and FastAPI framework.
154,Log Aggregator 154,Cybersecurity,C#,Flask,Advanced,Go|Concurrency|Scalability,2,Build a cybersecurity project using C# and Flask framework.
155,Cloud Storage 155,Machine Learning,PHP,React,Advanced,JavaScript|Vue.js|API Integration,2,Build a machine learning project using PHP and React framework.
156,ERP Solution 156,Mobile,Java,Spring Boot,Beginner,TypeScript|OOP|Design Patterns,4,Build a mobile project using Java and Spring Boot framework.
157,Wiki Platform 157,IoT,Go,Express,Advanced,Rust|Memory Safety|Performance,1,Build a iot project using Go and Express framework.
158,Forum App 158,Blockchain,Go,React,Intermediate,DevOps|Docker|Kubernetes,3,Build a blockchain project using Go and React framework.
159,Cloud Storage 159,Web,TypeScript,Vue.js,Expert,Rust|Memory Safety|Performance,3,Build a web project using TypeScript and Vue.js framework.
160,ChatBot 160,Machine Learning,Python,Ember,Beginner,DevOps|Docker|Kubernetes,1,Build a machine learning project using Python and Ember framework.
161,Data Pipeline 161,Blockchain,Rust,Spring Boot,Expert,C++|Game Engine|Graphics,4,Build a blockchain project using Rust and Spring Boot framework.
162,Stock Analyzer 162,Cybersecurity,TypeScript,Angular,Advanced,Rust|Memory Safety|Performance,4,Build a cybersecurity project using TypeScript and Angular framework.
163,Racing Game 163,Game Development,C#,Ember,Advanced,Java|Spring|Microservices,1,Build a game development project using C# and Ember framework.
164,AR Application 164,Web,C++,Angular,Beginner,JavaScript|React|Node.js,4,Build a web project using C++ and Angular framework.
165,Traffic Monitor 165,AI,PHP,React,Beginner,C++|Game Engine|Graphics,3,Build a ai project using PHP and React framework.
166,Virtual Machine 166,AI,JavaScript,Flask,Expert,IoT|Embedded Systems|Hardware,3,Build a ai project using JavaScript and Flask framework.
167,Monitoring System 167,IoT,Java,Ember,Beginner,Blockchain|Smart Contracts|Crypto,5,Build a iot project using Java and Ember framework.
168,Virtual Machine 168,Data Science,Ruby,Next.js,Intermediate,TypeScript|OOP|Design Patterns,1,Build a data science project using Ruby and Next.js framework.
169,Analytics Tool 169,AI,Ruby,Angular,Expert,Cybersecurity|Encryption|Penetration Testing,2,Build a ai project using Ruby and Angular framework.
170,Log Aggregator 170,IoT,PHP,Next.js,Expert,IoT|Embedded Systems|Hardware,3,Build a iot project using PHP and Next.js framework.
171,Recommendation System 171,Blockchain,TypeScript,Vue.js,Advanced,Python|Data Analysis|Visualization,2,Build a blockchain project using TypeScript and Vue.js framework.
172,API Gateway 172,DevOps,C#,Express,Intermediate,Go|Concurrency|Scalability,2,Build a devops project using C# and Express framework.
173,Payment Gateway 173,Mobile,JavaScript,Django,Intermediate,JavaScript|Vue.js|API Integration,4,Build a mobile project using JavaScript and Django framework.
174,Image Classifier 174,Cybersecurity,PHP,React,Expert,Python|NLP|Machine Learning,5,Build a cybersecurity project using PHP and React framework.
175,Puzzle Game 175,Web,Ruby,Angular,Intermediate,Cybersecurity|Encryption|Penetration Testing,1,Build a web project using Ruby and Angular framework.
176,Traffic Monitor 176,IoT,C#,Spring Boot,Beginner,Python|Deep Learning|Computer Vision,2,Build a iot project using C# and Spring Boot framework.
177,Network Simulator 177,IoT,Python,Flask,Expert,Python|Data Analysis|Visualization,4,Build a iot project using Python and Flask framework.
178,Scheduler 178,IoT,Go,React,Beginner,Go|Concurrency|Scalability,5,Build a iot project using Go and React framework.
179,VPN Client 179,DevOps,Go,Nuxt,Advanced,Python|NLP|Machine Learning,4,Build a devops project using Go and Nuxt framework.
180,Chat Application 180,AI,TypeScript,Nuxt,Advanced,DevOps|Docker|Kubernetes,4,Build a ai project using TypeScript and Nuxt framework.
181,Cloud Storage 181,Web,Java,Svelte,Intermediate,Python|ML|Data Analysis,2,Build a web project using Java and Svelte framework.
182,File Manager 182,Web,C#,Angular,Beginner,DevOps|Docker|Kubernetes,4,Build a web project using C# and Angular framework.
183,Chat Application 183,Mobile,JavaScript,Vue.js,Beginner,Python|NLP|Text Processing,3,Build a mobile project using JavaScript and Vue.js framework.
184,Video Streaming 184,IoT,Python,FastAPI,Expert,Python|ML|Data Analysis,3,Build a iot project using Python and FastAPI framework.
185,Chat Application 185,Data Science,C++,Express,Beginner,Java|Spring|Microservices,5,Build a data science project using C++ and Express framework.
186,Dashboard 186,Web,Python,Ember,Beginner,Python|ML|Data Analysis,3,Build a web project using Python and Ember framework.
187,AR Application 187,DevOps,JavaScript,Angular,Beginner,Go|Concurrency|Scalability,3,Build a devops project using JavaScript and Angular framework.
188,Image Classifier 188,Blockchain,PHP,Express,Advanced,JavaScript|React|State Management,1,Build a blockchain project using PHP and Express framework.
189,Document Generator 189,Cybersecurity,PHP,FastAPI,Beginner,Blockchain|Smart Contracts|Crypto,3,Build a cybersecurity project using PHP and FastAPI framework.
190,Racing Game 190,AI,Go,Express,Expert,Java|Spring|Microservices,3,Build a ai project using Go and Express framework.
191,Network Simulator 191,Blockchain,Rust,Nuxt,Intermediate,IoT|Embedded Systems|Hardware,1,Build a blockchain project using Rust and Nuxt framework.
192,Intrusion Detector 192,IoT,JavaScript,Express,Beginner,Rust|Memory Safety|Performance,3,Build a iot project using JavaScript and Express framework.
193,Dashboard 193,AI,C#,Flask,Beginner,Cybersecurity|Encryption|Penetration Testing,4,Build a ai project using C# and Flask framework.
194,3D Game 194,Cybersecurity,C#,Django,Beginner,Blockchain|Smart Contracts|Crypto,4,Build a cybersecurity project using C# and Django framework.
195,Stock Analyzer 195,IoT,JavaScript,Spring Boot,Advanced,JavaScript|React|State Management,4,Build a iot project using JavaScript and Spring Boot framework.
196,Load Balancer 196,Cybersecurity,Rust,Svelte,Intermediate,Python|Deep Learning|Computer Vision,3,Build a cybersecurity project using Rust and Svelte framework.
197,Document Generator 197,IoT,Java,Nuxt,Intermediate,Blockchain|Smart Contracts|Crypto,2,Build a iot project using Java and Nuxt framework.
198,Wiki Platform 198,Cybersecurity,C#,Angular,Expert,DevOps|Docker|Kubernetes,4,Build a cybersecurity project using C# and Angular framework.
199,Weather Dashboard 199,Mobile,Python,Django,Beginner,Blockchain|Smart Contracts|Crypto,2,Build a mobile project using Python and Django framework.
200,Network Simulator 200,Machine Learning,PHP,Vue.js,Intermediate,Java|Spring|Microservices,1,Build a machine learning project using PHP and Vue.js framework.
201,Backup Tool 201,Cybersecurity,C#,React,Beginner,Python|NLP|Machine Learning,1,Build a cybersecurity project using C# and React framework.
202,ERP Solution 202,Game Development,C#,Svelte,Beginner,JavaScript|React|Node.js,2,Build a game development project using C# and Svelte framework.
203,Recommendation System 203,Cybersecurity,TypeScript,Django,Advanced,TypeScript|OOP|Design Patterns,3,Build a cybersecurity project using TypeScript and Django framework.
204,File Manager 204,AI,Ruby,Spring Boot,Advanced,Go|Concurrency|Scalability,3,Build a ai project using Ruby and Spring Boot framework.
205,Container Registry 205,Machine Learning,Rust,React,Expert,Blockchain|Smart Contracts|Crypto,1,Build a machine learning project using Rust and React framework.
206,Racing Game 206,Cybersecurity,TypeScript,Vue.js,Beginner,TypeScript|OOP|Design Patterns,4,Build a cybersecurity project using TypeScript and Vue.js framework.
207,Firewall 207,IoT,Java,Vue.js,Expert,TypeScript|OOP|Design Patterns,1,Build a iot project using Java and Vue.js framework.
208,Password Manager 208,Machine Learning,TypeScript,Nuxt,Expert,JavaScript|React|State Management,1,Build a machine learning project using TypeScript and Nuxt framework.
209,Dashboard 209,Blockchain,Rust,Angular,Advanced,Python|Deep Learning|Computer Vision,2,Build a blockchain project using Rust and Angular framework.
210,ChatBot 210,Game Development,Python,React,Advanced,JavaScript|React|State Management,5,Build a game development project using Python and React framework.
